# 전기·전자·반도체 — ATS 하위도메인 탐지용
#
# 2026-09-15 갱신. 목표는 전기전자 40곳입니다(현재 39곳).
#
# 2026-09-12 첫 탐지에서 티씨케이 3건, 테크윙(0건이나 사이트 살아있음)을
# 찾았습니다. 57곳 중 2곳으로 수확이 적었는데, "발견" 으로 나온 16곳 중
# 14곳이 사이트를 닫은 곳이었기 때문입니다.
#
# 닫은 곳(등록하지 않음)
#   LX세미콘 · 대덕전자 · 유진테크 · 파크시스템스 · 피에스케이
#   대주전자재료 · 싸이맥스 · 아모텍 · 엘오티베큠 · 와이아이케이
#   고영 · 네패스 · 넥스틴
#   → 지금은 probe_ats2.py 가 이런 곳을 걸러냅니다
#
# 오탐 주의
#   "저스템" 을 찾으려고 jusung 을 넣었더니 주성엔지니어링이 잡혔습니다.
#   다른 회사입니다. 지금은 사이트 제목을 대조해 "확인필요" 로 표시합니다.
#
# 형식: 회사명,영문이름[,별칭...]
# 사용법: python scripts/probe_ats2.py --names scripts/names_electronics.txt

# ── 첫 탐지에서 못 찾은 곳 (이름 후보를 늘려 재시도) ──
비에이치,bhflex,bh-flex
파트론,partron,partronhr
엠씨넥스,mcnex,mcnexhr
심텍,simmtech,simmtechhr
코리아써키트,koreacircuit,kcircuit
인터플렉스,interflex,interflexhr
뉴프렉스,newflex,newflexhr
액트로,actro,actrohr
한솔테크닉스,hansoltechnics,hansol
제이앤티씨,jntc,jntchr
켐트로닉스,chemtronics,chemtronicshr
나무가,namuga,namugahr
삼화콘덴서,samwha,samwhacap
KEC,kec,kechr
비츠로셀,vitzrocell,vitzro
신성델타테크,shindelta,sdt
에스텍,estec,esteccorp
알에프텍,rftech,rftechhr
우주일렉트로닉스,ujuelec,uju
성호전자,sungho,sunghoelec
뉴인텍,newintek,newintekhr
비츠로테크,vitzrotech,vitzrotechhr
제룡전기,jeryong,jeryongelectric
인텍플러스,intekplus,intekplushr
제우스,zeus,zeushr
유니셈,unisem,unisemhr
ISC,isc,ischr
월덱스,woldex,worldex
미코,mico,micohr
유니테스트,unitest,unitesthr
엘비세미콘,lbsemicon,lbsemiconhr
하나기술,hanatech,hanatechhr
오로스테크놀로지,auros,aurostech
펨트론,femtron,femtronhr
레이크머티리얼즈,lakematerials,lake
디아이,di-dt,didt
에스에프에이,sfa,sfahr
에스비비테크,sbbtech,sbbtechhr
알에스오토메이션,rsautomation,rsauto
하이젠알앤엠,hyzen,hyzenmotor

# ── 새로 추가한 후보 ──
에스티아이,sti,stihr
원익홀딩스,wonikholdings,wonik
테크메이션,techmation,techmationhr
아이에이,ia,iahr
시노펙스,synopex,synopexhr
한솔아이원스,hansoliones,iones
디바이스이엔지,deviceeng,deviceenghr
엘티씨,ltc,ltchr
제이티,jt,jtcorp
네온테크,neontech,neontechhr
에이치브이엠,hvm,hvmhr
