# 로봇·자동화 — ATS 하위도메인 탐지용
#
# 2026-09-15 갱신. 목표는 로봇 20곳입니다(현재 17곳).
#
# 로봇은 스타트업이 많아 그리팅·나인하이어 비중이 높습니다.
# 2026-09-12 첫 탐지에서 위로보틱스 28건을 찾았습니다. 홈페이지 경유로는
# 못 찾던 곳이라 이 방식이 효과를 본 사례입니다.
#
# 그때 "발견" 으로 나왔지만 사이트를 닫은 곳(등록하지 않음)
#   시스콘 · 유일로보틱스
#   → 지금은 probe_ats2.py 가 이런 곳을 걸러냅니다
#
# 엠로는 찾았지만 인재풀 1건뿐이고 공급망 SW 회사라 로봇이 아니어서 뺐습니다.
#
# 형식: 회사명,영문이름[,별칭...]
# 사용법: python scripts/probe_ats2.py --names scripts/names_robot.txt

# ── 첫 탐지에서 못 찾은 곳 (이름 후보를 늘려 재시도) ──
티로보틱스,trobotics,tr-robotics
에이딘로보틱스,aidinrobotics,aidin
로브로스,robros,robroshr
플로틱,flotic,flotichr
마로솔,marosol,solomon
빅웨이브로보틱스,bigwave,bwrobotics
로보웨어,roboware,robowarehr
고카트,gocart,gocarthr
브이디컴퍼니,vdcompany,vdcompanyhr
알지티,rgt,rgthr
비트코퍼레이션,beatcorp,beatcorporation
라운지랩,loungelab,loungex
에이치로보틱스,hrobotics,h-robotics
코봇,cobot,cobothr
현대무벡스,hyundaimovex,movex
에스피지,spg,spgmotor
아진엑스텍,ajinextek,ajin
라온테크,raontech,raontechhr
유진로봇,yujinrobot,yujin
케이엔알시스템,knrsys,knr

# ── 새로 추가한 후보 ──
LS메카피온,lsmecapion,mecapion
로보로보,roborobo,roborobohr
휴림로봇,hyulimrobot,hyulim
티피씨,tpc,tpcmechatronics
에스엠코어,smcore,smcorehr
퍼스텍,firstec,firstechr
큐렉소,curexo,curexohr
민트로봇,mintrobot,minthr
뉴로스,neuros,neuroshr
로보프린트,roboprint,roboprinthr
도구공간,dogu,doguspace
로보아르테,roboarete,robert
비전세미콘,visionsemicon,vision
