name,status,ats,code,n,url,title,tried,note
도구공간,발견,recruiter,dogu,0,https://dogu.recruiter.co.kr/career/home,,2,
아진엑스텍,발견,recruiter_v1,ajin,0,https://ajin.recruiter.co.kr/app/jobnotice/list,,42,
LS메카피온,못찾음,,,,,,80,후보 20개 확인
고카트,못찾음,,,,,,76,후보 19개 확인
뉴로스,못찾음,,,,,,76,후보 19개 확인
라온테크,못찾음,,,,,,76,후보 19개 확인
라운지랩,못찾음,,,,,,80,후보 20개 확인
로보로보,못찾음,,,,,,76,후보 19개 확인
로보아르테,못찾음,,,,,,80,후보 20개 확인
로보웨어,못찾음,,,,,,76,후보 19개 확인
로보프린트,못찾음,,,,,,76,후보 19개 확인
로브로스,못찾음,,,,,,76,후보 19개 확인
마로솔,못찾음,,,,,,80,후보 20개 확인
민트로봇,못찾음,,,,,,80,후보 20개 확인
브이디컴퍼니,못찾음,,,,,,76,후보 19개 확인
비전세미콘,못찾음,,,,,,80,후보 20개 확인
비트코퍼레이션,못찾음,,,,,,80,후보 20개 확인
빅웨이브로보틱스,못찾음,,,,,,80,후보 20개 확인
알지티,못찾음,,,,,,76,후보 19개 확인
에스엠코어,못찾음,,,,,,76,후보 19개 확인
에스피지,못찾음,,,,,,80,후보 20개 확인
에이딘로보틱스,못찾음,,,,,,80,후보 20개 확인
에이치로보틱스,못찾음,,,,,,40,후보 10개 확인
유진로봇,못찾음,,,,,,80,후보 20개 확인
케이엔알시스템,못찾음,,,,,,80,후보 20개 확인
코봇,못찾음,,,,,,76,후보 19개 확인
큐렉소,못찾음,,,,,,76,후보 19개 확인
티로보틱스,못찾음,,,,,,80,후보 20개 확인
티피씨,못찾음,,,,,,80,후보 20개 확인
퍼스텍,못찾음,,,,,,76,후보 19개 확인
플로틱,못찾음,,,,,,76,후보 19개 확인
현대무벡스,못찾음,,,,,,80,후보 20개 확인
휴림로봇,못찾음,,,,,,80,후보 20개 확인
