name,home,ats,code,found_at,how,status,note
삼성에스디에스,https://www.samsungsds.com/en/index.html,,,,,ATS없음,채용링크 1개(화면)
크래프톤,https://krafton.com/,,,,,ATS없음,채용링크 4개(화면)
LG씨엔에스,https://www.lgcns.com/us,,,,,채용링크없음,채용링크 0개(화면)
NC,https://www.nc.com/,,,,,ATS없음,채용링크 1개(화면)
넷마블,https://company.netmarble.com/,,,,,ATS없음,채용링크 1개(화면)
NHN,https://nhn.com/,,,,,ATS없음,채용링크 1개(화면)
펄어비스,https://www.pearlabyss.com/ko-KR,,,,,ATS없음,채용링크 2개(화면)
시프트업,https://shiftup.co.kr/,,,,,ATS없음,채용링크 2개(화면)
다우기술,https://daou.co.kr/,,,,,ATS없음,채용링크 1개(화면)
더블유게임즈,https://doubleugames.com/?ckattempt=3,,,,,채용링크없음,채용링크 0개(화면)
아이티센글로벌,https://itcen.com/index.do,,,,,ATS없음,채용링크 3개(화면)
넥슨게임즈,https://www.nexongames.co.kr/,,,,,ATS없음,채용링크 3개(화면)
케이아이엔엑스,https://www.kinx.net/,,,,,ATS없음,채용링크 2개(화면)
루닛,https://www.lunit.io/en/,,,,,ATS없음,채용링크 1개(화면)
가비아,https://www.gabia.com/,,,,,ATS없음,채용링크 1개(화면)
위메이드,https://www.wemade.com/,,,,,채용링크없음,채용링크 0개(화면)
SOOP,https://corp.sooplive.com/,,,,,ATS없음,채용링크 4개(화면)
디어유,https://dear-u.co/,,,,,채용링크없음,채용링크 0개(화면)
컴투스,https://www.com2us.com/ko,recruiter,com2us,https://www.com2us.com/ko,브라우저,발견,
카페24,https://www.cafe24.com/,,,,,채용링크없음,채용링크 0개(화면)
네오위즈,https://www.neowiz.com/kr,,,,,ATS없음,채용링크 4개(화면)
다날,https://danal.co.kr/,,,,,ATS없음,채용링크 1개(화면)
위메이드맥스,https://www.wemademax.com/,,,,,ATS없음,채용링크 3개(화면)
엑스게이트,https://www.axgate.com/main/,,,,,ATS없음,채용링크 2개(화면)
리파인,https://www.refine.co.kr/,,,,,ATS없음,채용링크 3개(화면)
KG이니시스,https://www.inicis.com/,,,,,ATS없음,채용링크 1개(화면)
롯데이노베이트,https://lotteinnovate.com/ko,,,,,ATS없음,채용링크 4개(화면)
골프존,https://golfzon.com/main/,,,,,채용링크없음,채용링크 0개(화면)
슈어소프트테크,https://www.suresofttech.com/,,,,,ATS없음,채용링크 1개(화면)
갤럭시아머니트리,https://www.galaxiamoneytree.co.kr/,,,,,채용링크없음,채용링크 0개(화면)
드림시큐리티,https://dreamsecurity.com/,,,,,ATS없음,채용링크 1개(화면)
한국정보인증,https://www.kica.co.kr/kica/main/formMain.sg,,,,,채용링크없음,채용링크 0개(화면)
YG PLUS,https://www.ygplus.com/,,,,,ATS없음,채용링크 1개(화면)
네오위즈홀딩스,https://www.neowiz.com/kr,,,,,ATS없음,채용링크 4개(화면)
솔트룩스,https://saltlux.com/kor/main/main.do?mId=1,,,,,채용링크없음,채용링크 0개(화면)
사람인,https://saramin.co.kr,,,,,접속실패,Page.goto: Timeout 15000ms exceeded.
티쓰리,https://www.t3.co.kr/?ckattempt=3,,,,,채용링크없음,채용링크 0개(화면)
에프앤가이드,https://www.fnguide.com/,,,,,채용링크없음,채용링크 0개(화면)
이크레더블,https://ecredible.co.kr/main/indx/ECR01010100.do,,,,,채용링크없음,채용링크 0개(화면)
니어스랩,https://www.nearthlab.com/en,greeting,career.nearthlab.com,https://career.nearthlab.com/ko/home,브라우저→링크,발견,채용링크 1개(화면)
지니언스,https://www.genians.co.kr/,,,,,ATS없음,채용링크 1개(화면)
KG파이낸셜,https://www.mobilians.co.kr/mpay/sys/main/index.do,,,,,채용링크없음,채용링크 0개(화면)
넥써쓰,https://www.homepage.nexus/,,,,,채용링크없음,채용링크 0개(화면)
지어소프트,https://gaeasoft.co.kr/,,,,,ATS없음,채용링크 1개(화면)
윈스테크넷,https://wins21.co.kr,,,,,접속실패,Page.goto: net::ERR_CONNECTION_RESET at https://wins21.co.kr
고스트스튜디오,https://www.ghoststudio.net/en/,,,,,채용링크없음,채용링크 0개(화면)
텔코웨어,https://www.telcoware.com/,,,,,ATS없음,채용링크 3개(화면)
핑거,https://www.finger.co.kr/homepage/html/main/main-01-01.html?cate=main&sub=01&page=01,,,,,ATS없음,채용링크 1개(화면)
넵튠,https://neptunecompany.kr/?refresh=1788767022095,,,,,ATS없음,채용링크 4개(화면)
상상인,https://sangsanginworld.co.kr/en/main.do,,,,,ATS없음,채용링크 2개(화면)
현대이지웰,https://hyundaiezwel.com/renew/main.ez,,,,,채용링크없음,채용링크 0개(화면)
아톤,https://www.atoncorp.com/,,,,,ATS없음,채용링크 3개(화면)
나무에이엑스,https://www.namuax.com/,,,,,채용링크없음,채용링크 0개(화면)
한컴위드,https://www.hancomwith.com/,,,,,ATS없음,채용링크 1개(화면)
