# 전기·전자 상장사 (한국거래소 업종분류 현황)
#
# 출처: KRX 업종분류 현황 '전기·전자' 업종. 2026-09-03 확인.
#   코스피 69곳 + 코스닥 316곳 = 385곳 (우선주 제외)
#
# 홈페이지는 KIND 상장법인목록(2,801곳)에서 종목코드로 대조해 자동으로 채웠습니다.
# 사람이 하나씩 찾지 않았습니다. 상장사라면 앞으로도 이 방법을 쓰세요.
#   https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13
#
# 뺀 곳:
#   이미 수집 중 20곳    삼성·LG·SK·한화·두산 그룹 어댑터 등
#   이미 탐지함 50곳     반도체·PCB·자동차부품 명단에서 훑었으나 미발견
#   SK하이닉스           발주처라 제외
#   홈페이지 없음 19곳    KIND 에 주소가 없는 곳
#
# 시가총액 순으로 정렬했습니다. 위쪽이 채용 규모도 큽니다.
#
# 형식: 회사명,홈페이지
# 사용법: python scripts/probe_ats1.py --urls scripts/targets_electronics.txt

LS ELECTRIC,https://ls-electric.com
효성중공업,https://hyosungheavyindustries.com
포스코퓨처엠,https://poscofuturem.com
한화시스템,https://hanwhasystems.com
에코프로비엠,https://ecoprobm.co.kr
가온전선,https://gaoncable.com
산일전기,https://sanil.co.kr
대한전선,https://taihan.com
엘앤에프,https://landf.co.kr
리노공업,https://leeno.com
심텍,https://simmtech.co.kr
LG디스플레이,https://lgdisplay.com
파두,https://fadu.io
DN오토모티브,https://dnautomotive.com
두산퓨얼셀,https://doosanfuelcell.com
에코프로머티,https://ecopromaterials.com
서진시스템,https://seojinsystem.net
대한광통신,https://taihanfiber.com
롯데에너지머티리얼즈,https://lotteenergymaterials.com
우리기술,https://wooritg.com
대주전자재료,https://daejoo.co.kr
RFHIC,https://rfhic.com
성호전자,https://sungho.net
비츠로셀,https://vitzrocell.com
삼화콘덴서,https://samwha.com
대원전선,https://daewoncable.co.kr
하나머티리얼즈,https://hanamts.com
SFA반도체,https://sfasemicon.com
경동나비엔,https://kdnavien.co.kr
샘씨엔에스,https://semcns.com
덕산네오룩스,https://dsneolux.co.kr
신성델타테크,https://ssdelta.co.kr
제룡전기,https://cheryong.co.kr
지엔씨에너지,https://gncenergy.co.kr
인텔리안테크,https://intelliantech.com
씨엠티엑스,https://cmtx.co.kr
피노,https://finoes.co.kr
자화전자,https://jahwa.co.kr
RF머트리얼즈,https://rf-materials.com
파미셀,https://pharmicell.com
솔루엠,https://solum-group.com
케이엠더블유,https://kmw.co.kr
서울반도체,https://seoulsemicon.com
쏠리드,https://solid.co.kr
솔루스첨단소재,https://solusadvancedmaterials.com
HLB이노베이션,https://hlbinnovation.com
삼지전자,https://samjielec.co.kr
덕산하이메탈,https://dshm.co.kr
아이쓰리시스템,https://i3system.com
비나텍,https://vina.co.kr
광전자,https://auk.co.kr
이녹스첨단소재,https://innoxamc.com
오킨스전자,https://okins.co.kr
드림텍,https://idreamtech.co.kr
한솔테크닉스,https://hansoltechnics.com
메카로,https://mecaro.com
신도리코,https://sindoh.com
서울바이오시스,https://seoulviosys.com
PS일렉트로닉스,https://pselectronics.co.kr
한중엔시에스,https://hjncs.com
마이크로컨텍솔,https://mcsgroup.co.kr
신성이엔지,https://shinsungeng.com
파인엠텍,https://finemtec.com
빛과전자,https://lightron.co.kr
디케이티,https://dtktech.co.kr
한양디지텍,https://hanyangdgt.com
상신이디피,https://ssedp.co.kr
인탑스,https://intops.co.kr
LB세미콘,https://lbsemicon.com
오이솔루션,https://oesolution.com
대아티아이,https://daeati.co.kr
비덴트,https://vidente.co.kr
KH바텍,https://khvatec.com
티엠씨,https://tmccable.com
삼영전자,https://samyoung.co.kr
우주일렉트로,https://uju.com
서호전기,https://seoho.com
LIG아큐버,https://ligaccuver.com
에스엔시스,https://snsys.net
강원에너지,https://kwenergy.co.kr
신흥에스이씨,https://shsec.co.kr
채비,https://chaevi.com
메가터치,https://megatouch.co.kr
아리바이오홀딩스,https://solux.co.kr
세나테크놀로지,https://sena.co.kr
코텍,https://kortek.co.kr
옵티코어,https://opticore.co.kr
아이엘,https://il.co.kr
도우인시스,https://dowooinsys.com
아이티엠반도체,https://it-m.co.kr
케이엔제이,https://knj.kr
나무가,https://namuga.co.kr
코칩,https://korchip.com
아모텍,https://amotech.co.kr
이랜텍,https://elentec.co.kr
아이디스,https://idisglobal.com
지투파워,https://g2p.co.kr
이랜시스,https://elensys.co.kr
금호전기,https://khe.co.kr
와이솔,https://wisol.co.kr
빅솔론,https://bixolon.com
아나패스,https://anapass.com
에치에프알,https://hfrnet.com
제일일렉트릭,https://cheilelec.com
새로닉스,https://seronics.co.kr
피델릭스,https://fidelix.co.kr
유비쿼스,https://ubiquoss.com
삼화전기,https://samwha.co.kr
코스텍시스,https://kostec.net
에코앤드림,https://endss.com
세경하이테크,https://sghitech.co.kr
케이알엠,https://tamulm.com
동양이엔피,https://dyenp.com
에이치엠넥스,https://hmnex.co.kr
에이스테크,https://aceantenna.co.kr
엠디바이스,https://mdevice.co.kr
오늘이엔엠,https://hyulimnetworks.com
져스텍,https://justek.com
코맥스,https://commax.com
액트로,https://actro.co.kr
라이콤,https://licomm.com
아바텍,https://avatec.co.kr
파세코,https://paseco.co.kr
퀄리타스반도체,https://q-semi.com
비씨엔씨,https://bcnc.co.kr
와이투솔루션,https://yuyang.co.kr
유아이엘,https://e-uil.com
AP위성,https://apsi.co.kr
제노코,https://genohco.com
아진엑스텍,https://ajinextek.com
중앙첨단소재,https://joongangdnm.co.kr
아이앤씨,https://inctech.co.kr
KEC,https://kec.co.kr
그린리소스,https://greenresource.kr
파워로직스,https://powerlogics.co.kr
