# IT 서비스 재탐지 대상
#
# 2026-09-04 IT 231곳을 훑어 37곳을 찾았습니다(16%).
# 못 찾은 곳 중 홈페이지가 열린 곳을 다시 봅니다.
#
# 왜 다시 보는가
#   요즘 사이트는 메뉴를 자바스크립트로 그립니다. 서버가 주는 HTML 에는
#   뼈대만 있어 채용 링크를 찾지 못했습니다. 실제로 삼성SDS 는 서버
#   HTML 에 채용 링크가 0개인데 브라우저 화면에는 3개가 있었습니다.
#   IT 는 이 방식을 쓰는 비율이 높아 40%가 '채용링크없음' 이었습니다.
#
#   탐지기에 사이트맵 조회를 넣었습니다. 회사가 직접 만든 주소 목록이라
#   자바스크립트와 무관하게 채용 페이지를 찾을 수 있습니다.
#
# 뺀 곳
#   이미 등록된 회사
#   카카오 — robots.txt 가 401 이라 규칙을 확인할 수 없어 보류
#
# 형식: 회사명,홈페이지
# 사용법: python scripts/probe_ats1.py --urls scripts/targets_it_retry.txt

삼성에스디에스,https://samsungsds.com
크래프톤,https://krafton.com
LG씨엔에스,https://lgcns.com
NC,https://nc.com
넷마블,https://company.netmarble.com
NHN,https://nhn.com
펄어비스,https://pearlabyss.com
시프트업,https://shiftup.co.kr
다우기술,https://daou.co.kr
더블유게임즈,https://doubleugames.com
아이티센글로벌,https://itcen.co.kr
넥슨게임즈,https://www.nexongames.co.kr
케이아이엔엑스,https://kinx.net
루닛,https://lunit.io
가비아,https://gabia.com
위메이드,https://wemade.com
SOOP,https://corp.afreecatv.com
디어유,https://dear-u.co
컴투스,https://com2us.com
카페24,https://cafe24.com
네오위즈,https://neowizgames.com
다날,https://danal.co.kr
위메이드맥스,https://wemademax.com
엑스게이트,https://axgate.com
리파인,https://www.refine.co.kr
KG이니시스,https://inicis.com
롯데이노베이트,https://lotteinnovate.com
골프존,https://golfzon.com
슈어소프트테크,https://suresofttech.com
갤럭시아머니트리,https://www.galaxiamoneytree.co.kr
드림시큐리티,https://dreamsecurity.com
한국정보인증,https://kica.co.kr
YG PLUS,https://ygplus.com
네오위즈홀딩스,https://neowiz.com
솔트룩스,https://saltlux.com
사람인,https://saramin.co.kr
티쓰리,https://www.t3.co.kr
에프앤가이드,https://fnguide.com
이크레더블,https://ecredible.co.kr
니어스랩,https://nearthlab.com
지니언스,https://genians.co.kr
KG파이낸셜,https://www.mobilians.co.kr
넥써쓰,https://to.nexus
지어소프트,https://gaeasoft.co.kr
윈스테크넷,https://wins21.co.kr
고스트스튜디오,https://ghoststudio.net
텔코웨어,https://telcoware.com
핑거,https://www.finger.co.kr
넵튠,https://neptunecompany.kr
상상인,https://sangsanginworld.co.kr
현대이지웰,https://hyundaiezwel.com
아톤,https://www.atoncorp.com
나무에이엑스,https://www.namutech.co.kr
한컴위드,https://hsecure.co.kr
에스피소프트,https://spsoft.co.kr
이니텍,https://initech.com
링네트,https://ringnet.co.kr
라온시큐어,https://raonsecure.com
크레오에스지,https://curocom.com
SKAI,https://skaiworldwide.com
뉴로핏,https://neurophet.com
KTcs,https://ktcs.co.kr
KTis,https://ktis.co.kr
컴투스홀딩스,https://holdings.com2us.com
에스트래픽,https://straffic.co.kr
LS티라유텍,https://ls-thirautech.com
조이시티,https://joycity.com
THE E&M,https://theenm.com
알서포트,https://rsupport.com
미투온,https://me2on.com
에스넷,https://www.snetsystems.co.kr
누리플렉스,https://nuriflex.co.kr
젝시믹스,https://xexymixcorp.com
엠게임,https://mgamecorp.com
네오리진,https://neorigin.com
뉴엔AI,https://newen.ai
오파스넷,https://opasnet.co.kr
폴라리스AI,https://polarisai.co.kr
아이티센씨티에스,https://comtec.co.kr
아이티센엔텍,https://itcenentec.com
디지틀조선,https://chosun.com
마음AI,https://maum.ai
아이크래프트,https://icraft21.com
한국전자인증,https://crosscert.com
인지소프트,https://inzisoft.com
위메이드플레이,https://corp.wemadeplay.com
비트컴퓨터,http://bit.co.kr
레몬헬스케어,https://lemonhealthcare.com
샌즈랩,https://sandslab.io
유엔젤,https://uangel.com
유비벨록스,https://veloxsoft.com
이글루,https://igloo.co.kr
FSN,https://fsn.co.kr
비트플래닛,https://bit-planet.kr
오픈베이스,https://openbase.co.kr
서울평가정보,http://sci.co.kr
토탈소프트,https://www.tsb.co.kr
수산아이앤티,http://soosanint.co.kr
인성정보,http://www.insunginfo.co.kr
시선AI,https://cubox.ai
퀀텀레일,https://xcure.co.kr
알체라,https://alchera.ai
시큐레터,https://seculetter.com
오상자이엘,https://osangjaiel.co.kr
코어라인소프트,https://corelinesoft.com
이지스,https://egiskorea.com
액토즈소프트,https://actoz.com
아시아경제,https://asiae.co.kr
파수AI,https://fasoo.com
포시에스,http://forcs.com
미스터블루,https://mrbluecorp.com
뱅크웨어글로벌,https://bankwareglobal.com
비아이매트릭스,https://bimatrix.co.kr
NHN벅스,https://bugs.co.kr
멤레이비티,http://neodian.co.kr
영림원소프트랩,https://www.ksystem.co.kr
링크제니시스,https://linkgenesis.co.kr
이루온,https://eluon.com
토마토시스템,https://tomatosystem.co.kr
인스피언,https://inspien.co.kr
SGA솔루션즈,https://sgasol.kr
폴라리스AI핸디,https://polaris-ai-handy.com
산돌,https://sandoll.co.kr
플랜티넷,https://plantynet.com
인포뱅크,http://infobank.net
브리지텍,https://bridgetec.co.kr
오브젠,https://obzen.com
시큐브,https://secuve.com
이노에이엑스,https://inno-ax.com
미래아이앤지,https://miraeing.co.kr
브레인즈컴퍼니,https://brainz.co.kr
디지캡,https://digicaps.com
트윔,https://twim21.com
대신정보통신,http://www.dsic.co.kr
유라클,https://uracle.co.kr
솔트웨어,https://www.saltware.co.kr
심플랫폼,https://simplatform.com
모비릭스,https://mobirix.com
아이퀘스트,https://iquest.co.kr
이삭엔지니어링,https://isaac-eng.com
플래티어,https://plateer.com
키네마스터,https://kinemastercorp.com
티사이언티픽,https://tscientific.co.kr
엔텔스,https://ntels.com
휴네시온,https://hunesion.com
한빛소프트,https://www.hanbitsoft.co.kr
인스웨이브,https://inswave.com
한싹,https://hanssak.co.kr
세중,https://sejoong.com
소프트캠프,https://softcamp.co.kr
벨로크,https://bellock.co.kr
비트맥스,https://bitmax.im
이노테나,https://innotena.com
지란지교시큐리티,https://jiransecurity.com
라온피플,https://laonpeople.com
바이브컴퍼니,https://vaiv.kr
오픈놀,https://openknowl.com
케이쓰리아이,https://k3i.co.kr
플레이위드,https://playwith.co.kr
유비온,https://ubion.co.kr
알티캐스트,https://alticast.co.kr
비큐AI,https://becuai.com
이노뎁,https://innodep.co.kr
아이티아이즈,https://iteyes.co.kr
위세아이텍,https://wise.co.kr
이노시뮬레이션,https://innosim.com
핑거스토리,https://mootoon.co.kr
버넥트,https://virnect.com
소프트센,https://softcen.co.kr
미디어젠,http://mediazen.co.kr
카티스,https://CATIS.CO.KR
드래곤플라이,https://www.dragonflygame.com
유디엠텍,https://udmtek.com
휴맥스홀딩스,https://holdings.humaxdigital.com
모아데이타,https://moadata.co.kr
E8,https://e8ight.co.kr
모바일어플라이언스,https://mobileappliance.co.kr
투비소프트,https://tobesoft.com
아이톡시,https://itoxi.co.kr
